XP_003658319.1,K01078
XP_003658319.1,K22390
XP_003658326.1,K07879
XP_003658326.1,K07880
XP_003658327.1,K01192
XP_003658328.1,K00008
XP_003658328.1,K05351
XP_003658329.1,K01930
XP_003658329.1,K17785
XP_003658330.1,K01930
XP_003658331.1,K17785
XP_003658332.1,K07889
XP_003658332.1,K17785
XP_003658333.1,K21797
XP_003658334.1,K21989
XP_003658336.1,K10398
XP_003658339.1,K14843
XP_003658340.1,K05293
XP_003658342.1,K17714
XP_003658343.1,K01870
XP_003658344.1,K14779
XP_003658346.1,K07300
XP_003658348.1,K01341
XP_003658349.1,K17919
XP_003658350.1,K17800
XP_003658351.1,K00939
XP_003658351.1,K00944
XP_003658354.1,K12876
XP_003658357.1,K00102
XP_003658364.1,K05283
XP_003658365.1,K08286
XP_003658366.1,K15425
XP_003658370.1,K17778
XP_003658370.1,K17781
XP_003658371.1,K04567
XP_003658378.1,K00135
XP_003658389.1,K02830
XP_003658391.1,K06062
XP_003658392.1,K01194
XP_003658393.1,K01620
XP_003658397.1,K12667
XP_003658399.1,K01426
XP_003658400.1,K00993
XP_003658402.1,K00683
XP_003658406.1,K12236
XP_003658408.1,K17605
XP_003658409.1,K12590
XP_003658410.1,K00858
XP_003658413.1,K12366
XP_003658416.1,K22285
XP_003658417.1,K03320
XP_003658420.1,K01179
XP_003658426.1,K12351
XP_003658427.1,K14963
XP_003658428.1,K15902
XP_003658429.1,K06639
XP_003658431.1,K14708
XP_003658432.1,K02179
XP_003658433.1,K07297
XP_003658434.1,K13174
XP_003658437.1,K14826
XP_003658438.1,K00924
XP_003658439.1,K10625
XP_003658440.1,K00419
XP_003658441.1,K14294
XP_003658442.1,K08900
XP_003658443.1,K02948
XP_003658444.1,K17804
XP_003658445.1,K09935
XP_003658448.1,K06889
XP_003658449.1,K15263
XP_003658450.1,K13346
XP_003658454.1,K14686
XP_003658455.1,K00452
XP_003658456.1,K01557
XP_003658458.1,K13171
XP_003658459.1,K11344
XP_003658461.1,K06670
XP_003658462.1,K01537
XP_003658462.1,K20291
XP_003658463.1,K20291
XP_003658464.1,K21232
XP_003658465.1,K18599
XP_003658467.1,K01768
XP_003658468.1,K15628
XP_003658469.1,K15731
XP_003658470.1,K09481
XP_003658472.1,K11842
XP_003658472.1,K11872
XP_003658474.1,K17743
XP_003658475.1,K17550
XP_003658476.1,K06889
XP_003658479.1,K02882
XP_003658484.1,K01549
XP_003658485.1,K10415
XP_003658486.1,K05275
XP_003658489.1,K21768
