XP_003658314,Abhydrolase_6
XP_003658319,Metallophos
XP_003658319,Metallophos_C
XP_003658319,Pur_ac_phosph_N
XP_003658322,RNase_T
XP_003658323,2-Hacid_dh
XP_003658323,2-Hacid_dh_C
XP_003658325,adh_short
XP_003658326,Ras
XP_003658327,Glyco_hydro_2
XP_003658327,Glyco_hydro_2_C
XP_003658328,ADH_N
XP_003658328,ADH_zinc_N
XP_003658329,Mur_ligase_M
XP_003658330,Mur_ligase_M
XP_003658331,Mitofilin
XP_003658332,Ras
XP_003658333,Syja_N
XP_003658335,UPF0183
XP_003658336,Kinesin
XP_003658336,Microtub_bind
XP_003658337,HAD_2
XP_003658338,RRN9
XP_003658339,BRCT
XP_003658339,BRCT_2
XP_003658339,Pescadillo_N
XP_003658340,PIG-U
XP_003658342,GST_C_6
XP_003658342,Tom37
XP_003658343,Anticodon_1
XP_003658343,tRNA-synt_1
XP_003658344,DEAD
XP_003658344,Helicase_C
XP_003658345,SPRY
XP_003658346,Na_Ca_ex
XP_003658347,PhoD
XP_003658348,P_proprotein
XP_003658348,Peptidase_S8
XP_003658349,PX
XP_003658349,Vps5
XP_003658350,LETM1
XP_003658351,ADK
XP_003658351,ADK_lid
XP_003658353,Glyco_hydro_76
XP_003658354,RRM_1
XP_003658356,GATA
XP_003658356,PAS_3
XP_003658357,FAD-oxidase_C
XP_003658357,FAD_binding_4
XP_003658358,Clr5
XP_003658360,Glyco_tranf_2_3
XP_003658362,AAA_18
XP_003658364,GWT1
XP_003658365,KA1
XP_003658365,Pkinase
XP_003658366,PPP4R2
XP_003658368,CLTH
XP_003658368,zf-RING_UBOX
XP_003658370,zf-Tim10_DDP
XP_003658371,tRNA-synt_2
XP_003658371,tRNA_anti-codon
XP_003658373,PH_6
XP_003658374,HATPase_c
XP_003658374,HisKA
XP_003658374,PAS
XP_003658374,PAS_3
XP_003658374,PAS_4
XP_003658374,PAS_8
XP_003658374,PAS_9
XP_003658374,Response_reg
XP_003658377,Glyco_hydro_79C
XP_003658378,Aldedh
XP_003658379,Pkinase
XP_003658386,Chromo
XP_003658386,Peptidase_A2E
XP_003658386,RVT_1
XP_003658386,rve
XP_003658387,Asp_protease_2
XP_003658387,Chromo
XP_003658387,Peptidase_A2E
XP_003658387,RVT_1
XP_003658387,Retrotrans_gag
XP_003658387,gag-asp_proteas
XP_003658387,rve
XP_003658387,zf-CCHC
XP_003658389,Ost5
XP_003658389,Rad1
XP_003658390,Ost5
XP_003658391,Acetyltransf_1
XP_003658391,Bromodomain
XP_003658392,Trehalase
XP_003658393,Beta_elim_lyase
XP_003658394,Fungal_trans
XP_003658394,Zn_clus
XP_003658396,Cep57_CLD_2
XP_003658396,Cep57_MT_bd
XP_003658397,Ribophorin_II
XP_003658399,Amidase
XP_003658400,CDP-OH_P_transf
XP_003658401,PX
XP_003658402,Peptidase_M28
XP_003658404,adh_short
XP_003658405,IQ
XP_003658406,R3H
XP_003658406,zf-NF-X1
XP_003658408,PTPA
XP_003658409,RNase_PH
XP_003658409,RNase_PH_C
XP_003658410,NAD_kinase
XP_003658411,Homeobox
XP_003658412,zf-GRF
XP_003658413,DUF3361
XP_003658413,ELMO_CED12
XP_003658413,PH_12
XP_003658414,C2
XP_003658416,Oxysterol_BP
XP_003658417,Ammonium_transp
XP_003658418,CRT10
XP_003658420,Cellulase
XP_003658421,7tm_2
XP_003658423,TauD
XP_003658425,Pkinase_Tyr
XP_003658426,Exo_endo_phos
XP_003658427,WD40
XP_003658428,Pcc1
XP_003658429,DSPc
XP_003658429,DSPn
XP_003658430,SWIM
XP_003658431,STAS
XP_003658431,Sulfate_transp
XP_003658432,RabGAP-TBC
XP_003658433,HlyIII
XP_003658434,FimP
XP_003658435,Glyco_trans_2_3
XP_003658436,DJ-1_PfpI
XP_003658437,FKBP_C
XP_003658438,Pkinase
XP_003658439,ClpS
XP_003658439,zf-UBR
XP_003658440,UCR_UQCRX_QCR9
XP_003658441,Mago-bind
XP_003658442,AAA
XP_003658442,BCS1_N
XP_003658443,Ribosomal_S11
XP_003658444,Tim44
XP_003658445,DUF1768
XP_003658446,ABC_membrane
XP_003658446,ABC_tran
XP_003658447,ABC_membrane
XP_003658447,ABC_tran
XP_003658448,Hydrolase_4
XP_003658449,zf-LYAR
XP_003658450,Pex2_Pex12
XP_003658450,zf-C3HC4_2
XP_003658450,zf-C3HC4_3
XP_003658450,zf-RING_2
XP_003658451,EXS
XP_003658453,NUDIX
XP_003658454,Ctr
XP_003658455,3-HAO
XP_003658456,FAA_hydrolase
XP_003658458,PWI
XP_003658459,NuA4
XP_003658460,PD40
XP_003658460,Peptidase_S9
XP_003658461,Rad21_Rec8
XP_003658461,Rad21_Rec8_N
XP_003658462,Cation_ATPase_C
XP_003658462,Cation_ATPase_N
XP_003658462,E1-E2_ATPase
XP_003658462,Hydrolase
XP_003658462,Hydrolase_3
XP_003658463,COG4
XP_003658464,ThiS
XP_003658465,Dynamitin
XP_003658466,RTC4
